zbior,topologia,sasiedztwo,siatka,epoki,sigma,alpha0,lambda,seed,blad_kwantyzacji,klasy_rzeczywiste,klastry_na_mapie,zgodna_liczba_klastrow,aktywne_neurony,neurony_jednoklasowe,wszystkie_neurony_jednoklasowe,srednia_czystosc,min_czystosc
har,rectangular,mexican_hat,7x7,12,0.5,0.05,9000.0,42,14.47815,6,10,False,10,2,False,0.704154,0.355556
har,rectangular,mexican_hat,7x7,12,0.5,0.08,9000.0,42,14.712906,6,11,False,11,3,False,0.72308,0.437229
har,rectangular,mexican_hat,7x7,12,0.7,0.03,9000.0,42,14.967841,6,7,False,7,1,False,0.600109,0.428571
har,rectangular,mexican_hat,7x7,12,0.7,0.05,9000.0,42,15.018781,6,7,False,7,1,False,0.577207,0.433414
har,rectangular,mexican_hat,7x7,12,0.7,0.08,9000.0,42,15.091567,6,5,False,5,0,False,0.564515,0.359223
har,rectangular,mexican_hat,7x7,12,0.9,0.03,9000.0,42,15.361454,6,4,False,4,0,False,0.460775,0.417355
har,rectangular,mexican_hat,7x7,12,0.9,0.05,9000.0,42,16.114912,6,3,False,3,0,False,0.40996,0.371841
har,rectangular,mexican_hat,7x7,12,0.9,0.08,9000.0,42,16.120626,6,3,False,3,0,False,0.413406,0.371841
har,rectangular,mexican_hat,7x7,12,1.1,0.03,9000.0,42,14.593908,6,7,False,8,0,False,0.638609,0.460829
har,rectangular,mexican_hat,7x7,12,1.1,0.05,9000.0,42,14.562563,6,6,True,8,0,False,0.615947,0.447005
har,rectangular,mexican_hat,7x7,12,1.1,0.08,9000.0,42,14.944446,6,6,True,7,1,False,0.594444,0.444149
har,rectangular,mexican_hat,8x8,12,0.5,0.03,9000.0,42,14.26563,6,15,False,15,5,False,0.789853,0.460177
har,rectangular,mexican_hat,8x8,12,0.5,0.05,9000.0,42,14.292987,6,14,False,14,4,False,0.752475,0.40404
har,rectangular,mexican_hat,8x8,12,0.5,0.08,9000.0,42,14.325996,6,11,False,11,1,False,0.659022,0.489583
har,rectangular,mexican_hat,8x8,12,0.7,0.03,9000.0,42,14.961524,6,9,False,9,3,False,0.70868,0.420635
har,rectangular,mexican_hat,8x8,12,0.7,0.05,9000.0,42,14.771662,6,7,False,7,1,False,0.630606,0.41129
har,rectangular,mexican_hat,8x8,12,0.7,0.08,9000.0,42,14.800933,6,7,False,7,1,False,0.627095,0.372727
har,rectangular,mexican_hat,8x8,12,0.9,0.03,9000.0,42,15.097847,6,5,False,5,0,False,0.573914,0.406061
har,rectangular,mexican_hat,8x8,12,0.9,0.05,9000.0,42,15.122079,6,5,False,5,0,False,0.574727,0.409938
har,rectangular,mexican_hat,8x8,12,0.9,0.08,9000.0,42,15.165227,6,5,False,5,0,False,0.58051,0.404306
har,rectangular,mexican_hat,8x8,12,1.1,0.03,9000.0,42,14.991004,6,4,False,6,0,False,0.565523,0.4
har,rectangular,mexican_hat,8x8,12,1.1,0.05,9000.0,42,14.933292,6,5,False,6,0,False,0.534783,0.449814
har,rectangular,mexican_hat,8x8,12,1.1,0.08,9000.0,42,14.948516,6,5,False,6,0,False,0.542051,0.446524
har,hexagonal,mexican_hat,6x6,12,0.5,0.03,9000.0,42,14.456995,6,9,False,9,0,False,0.658727,0.414815
har,hexagonal,mexican_hat,6x6,12,0.5,0.05,9000.0,42,14.510456,6,9,False,9,0,False,0.620202,0.407407
har,hexagonal,mexican_hat,6x6,12,0.5,0.08,9000.0,42,14.369747,6,10,False,10,0,False,0.644245,0.483333
har,hexagonal,mexican_hat,6x6,12,0.7,0.03,9000.0,42,15.093622,6,5,False,5,0,False,0.489299,0.431718
har,hexagonal,mexican_hat,6x6,12,0.7,0.05,9000.0,42,15.494641,6,5,False,5,1,False,0.572982,0.350629
har,hexagonal,mexican_hat,6x6,12,0.7,0.08,9000.0,42,15.376442,6,5,False,5,0,False,0.512048,0.351181
har,hexagonal,mexican_hat,6x6,12,0.9,0.03,9000.0,42,15.752119,6,4,False,4,1,False,0.583416,0.34953
har,hexagonal,mexican_hat,6x6,12,0.9,0.05,9000.0,42,15.77944,6,3,False,3,0,False,0.443664,0.350548
har,hexagonal,mexican_hat,6x6,12,0.9,0.08,9000.0,42,15.810938,6,3,False,3,0,False,0.445757,0.350548
har,hexagonal,mexican_hat,6x6,12,1.1,0.03,9000.0,42,14.642488,6,7,False,8,0,False,0.617427,0.484848
har,hexagonal,mexican_hat,6x6,12,1.1,0.05,9000.0,42,15.806103,6,6,True,6,1,False,0.588396,0.350877
har,hexagonal,mexican_hat,6x6,12,1.1,0.08,9000.0,42,14.931021,6,5,False,6,0,False,0.593125,0.449495
har,hexagonal,mexican_hat,7x7,12,0.5,0.03,9000.0,42,14.33444,6,13,False,14,5,False,0.75336,0.483696
har,hexagonal,mexican_hat,7x7,12,0.5,0.05,9000.0,42,14.364444,6,13,False,14,5,False,0.759283,0.466292
har,hexagonal,mexican_hat,7x7,12,0.5,0.08,9000.0,42,14.388775,6,11,False,11,1,False,0.676683,0.488764
har,hexagonal,mexican_hat,7x7,12,0.7,0.03,9000.0,42,15.331217,6,6,True,6,2,False,0.640289,0.424528
har,hexagonal,mexican_hat,7x7,12,0.7,0.05,9000.0,42,15.348119,6,6,True,6,2,False,0.642066,0.428571
har,hexagonal,mexican_hat,7x7,12,0.7,0.08,9000.0,42,14.923231,6,6,True,6,0,False,0.517139,0.439506
har,hexagonal,mexican_hat,7x7,12,0.9,0.03,9000.0,42,15.490617,6,4,False,4,0,False,0.477332,0.351181
har,hexagonal,mexican_hat,7x7,12,0.9,0.05,9000.0,42,15.775933,6,4,False,4,1,False,0.582885,0.351097
har,hexagonal,mexican_hat,7x7,12,0.9,0.08,9000.0,42,15.808534,6,4,False,4,1,False,0.584045,0.351097
har,hexagonal,mexican_hat,7x7,12,1.1,0.03,9000.0,42,14.539381,6,9,False,11,1,False,0.63026,0.497717
har,hexagonal,mexican_hat,7x7,12,1.1,0.05,9000.0,42,14.452685,6,7,False,11,1,False,0.696832,0.455882
har,hexagonal,mexican_hat,7x7,12,1.1,0.08,9000.0,42,14.427397,6,7,False,11,1,False,0.716993,0.455882
har,hexagonal,mexican_hat,8x8,12,0.5,0.03,9000.0,42,14.258322,6,16,False,17,8,False,0.8109,0.444444
har,hexagonal,mexican_hat,8x8,12,0.5,0.05,9000.0,42,14.124365,6,15,False,15,4,False,0.785319,0.448598
har,hexagonal,mexican_hat,8x8,12,0.5,0.08,9000.0,42,14.085391,6,13,False,13,2,False,0.710008,0.454545
har,hexagonal,mexican_hat,8x8,12,0.7,0.03,9000.0,42,14.721079,6,9,False,9,3,False,0.718819,0.421875
har,hexagonal,mexican_hat,8x8,12,0.7,0.05,9000.0,42,14.759755,6,9,False,9,3,False,0.716104,0.414634
har,hexagonal,mexican_hat,8x8,12,0.7,0.08,9000.0,42,14.61482,6,8,False,8,1,False,0.650774,0.420635
har,hexagonal,mexican_hat,8x8,12,0.9,0.03,9000.0,42,15.095951,6,5,False,5,0,False,0.561872,0.362319
har,hexagonal,mexican_hat,8x8,12,0.9,0.05,9000.0,42,15.177369,6,5,False,5,0,False,0.580336,0.449438
har,hexagonal,mexican_hat,8x8,12,0.9,0.08,9000.0,42,15.376139,6,4,False,4,0,False,0.45804,0.420091
har,hexagonal,mexican_hat,8x8,12,1.1,0.03,9000.0,42,14.247498,6,7,False,11,0,False,0.652489,0.387097
har,hexagonal,mexican_hat,8x8,12,1.1,0.05,9000.0,42,14.486303,6,5,False,9,0,False,0.645767,0.459259
har,hexagonal,mexican_hat,8x8,12,1.1,0.08,9000.0,42,14.584628,6,8,False,9,0,False,0.629338,0.5
